"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"ZKSCAN5",94376.8392651888,"distal_TF"
"PITX1",94685.3261904762,"distal_TF"
"FLI1",94702.0929455446,"distal_TF"
"ALX3",94879.665113905,"distal_TF"
"SIX2",94904.35,"distal_TF"
"Nr2e3",94922.4876923077,"distal_TF"
"OVOL2",94923.5801282051,"distal_TF"
"OTX1",94934.638844086,"distal_TF"
"Nr1H2",95038.1111144458,"distal_TF"
"Nr1H4",95038.1111144458,"distal_TF"
"DRGX",95093.5501056082,"distal_TF"
"MYB",95115.3032899594,"distal_TF"
"DLX1",95304.9044568663,"distal_TF"
"HOXC8",95388.313955306,"distal_TF"
"Hic1",95419.5089773614,"distal_TF"
"ERF::HOXB13",95458.3879084967,"distal_TF"
"ARNT2",95490.7573070608,"distal_TF"
"GATA4",95576.6392857143,"distal_TF"
"Sox11",95684.5799086758,"distal_TF"
"BARHL2",95708.6089432239,"distal_TF"
"Gata3",95731.5336419753,"distal_TF"
"EVX1",95775.4646968228,"distal_TF"
"EN1",96051.0218918509,"distal_TF"
"JDP2",96155.4011494253,"distal_TF"
"Arid5a",96469.1923076923,"distal_TF"
"ETS2",96543.9749365482,"distal_TF"
"TFAP4::ETV1",96555.4479166666,"distal_TF"
"Nkx3-2",96573.1558823529,"distal_TF"
"ETV1",96655.3399252708,"distal_TF"
"RHOXF1",96697.4884703363,"distal_TF"
"TEAD4",96742.9,"distal_TF"
"BSX",96876.9872097599,"distal_TF"
"Foxn1",96944.0740400093,"distal_TF"
"MSX2",97042.9750634423,"distal_TF"
"ONECUT2",97362.619047619,"distal_TF"
"GSX1",97457.2115583847,"distal_TF"
"Hnf1A",97582.3880952381,"distal_TF"
"ONECUT1",97661.33,"distal_TF"
"FOXP4",97671.543715847,"distal_TF"
"HAND2",97685.3578894383,"distal_TF"
"SOX8",97689.2334020146,"distal_TF"
"FOXA1",97731.0847457627,"distal_TF"
"EVX2",97877.0826681307,"distal_TF"
"ONECUT3",97938,"distal_TF"
"NFYB",98128.6447368421,"distal_TF"
"ERF::FOXO1",98158.787359944,"distal_TF"
"Spi1",98270.6431547619,"distal_TF"
"NKX2-8",98417.2579856565,"distal_TF"
"HOXB2",98473.002565727,"distal_TF"
"FOXN3",98567.1,"distal_TF"
"Stat5b",98625.3055555556,"distal_TF"
"OSR2",98651.0125,"distal_TF"
"ZNF701",98761.7857142857,"distal_TF"
"IRF7",98770.7121212121,"distal_TF"
"Hand1::Tcf3",98866.5345238095,"distal_TF"
"POU3F4",98875.1847826087,"distal_TF"
"HOXA7",98896.9987996678,"distal_TF"
"ERF::FOXI1",99024.5448338213,"distal_TF"
"Foxf1",99055.8288461538,"distal_TF"
"CDX4",99096.0080357143,"distal_TF"
"NR2F2",99103.4398809524,"distal_TF"
"HOXA6",99126.533558146,"distal_TF"
"FIGLA",99132.1498805691,"distal_TF"
"HOXC11",99168.4285714286,"distal_TF"
"Stat4",99205.0470846026,"distal_TF"
"HOXC4",99208.233415379,"distal_TF"
"HNF1A",99314.6650154799,"distal_TF"
"NR2C2",99333.9896862778,"distal_TF"
"PRRX1",99379.6753216822,"distal_TF"
"E2F6",99411.1095143362,"distal_TF"
"FOXC2",99532.900689223,"distal_TF"
"Atf1",99609.3557823129,"distal_TF"
"SOX14",99716.3636363636,"distal_TF"
"RELB",99804.6241036415,"distal_TF"
"Foxj2",99876.35,"distal_TF"
"GABPA",99988.2647980711,"distal_TF"
"HIC2",100005.740131023,"distal_TF"
"MIXL1",100083.460118927,"distal_TF"
"ESR1",100126,"distal_TF"
"UNCX",100303.758572568,"distal_TF"
"ETV2",100346.478909465,"distal_TF"
"MGA",100410.272486772,"distal_TF"
"MXI1",100575.215255035,"distal_TF"
"FOXO1::ELK1",100656.906181319,"distal_TF"
"Hmga1",101172.911854103,"distal_TF"
"RELA",101257.524305556,"distal_TF"
"IKZF2",101299.765669618,"distal_TF"
"PDX1",101353.046636787,"distal_TF"
"NKX6-2",101529.220644872,"distal_TF"
"BACH2",101648.108333333,"distal_TF"
"Nr2e1",101860.830405405,"distal_TF"
"PGR",101866.864864865,"distal_TF"
"Arid3b",101918.001841418,"distal_TF"
"HOXA9",101967.359693062,"distal_TF"
"ZNF768",102070.480985915,"distal_TF"
"MZF1",102131.254728836,"distal_TF"
"SIX1",102151.505031447,"distal_TF"
"Dux",102215.625,"distal_TF"
"NR2F1",102381.502173913,"distal_TF"
"HOXD4",102431.19278562,"distal_TF"
"INSM1",102438.051754386,"distal_TF"
"STAT1",102446.232783883,"distal_TF"
"PITX3",102494.541862899,"distal_TF"
"Crx",102683.676065163,"distal_TF"
"FOSL1::JUN",102721.562063492,"distal_TF"
"STAT1::STAT2",102756.579787234,"distal_TF"
"ZNF175",102832.52447516,"distal_TF"
"HOXA2",102991.323718874,"distal_TF"
"STAT3",103043.846744672,"distal_TF"
"TFEB",103129.379839033,"distal_TF"
"ZNF708",103153.932142857,"distal_TF"
"HOXB4",103274.216883262,"distal_TF"
"FOXK1",103282.762770563,"distal_TF"
"HOXD12",103345.214285714,"distal_TF"
"Zfp335",103390.174881861,"distal_TF"
"EHF",103415.590190934,"distal_TF"
"TGIF2LX",103430.033333333,"distal_TF"
"ASCL1",103451.112857816,"distal_TF"
"NFATC4",103733.85019685,"distal_TF"
"TBX18",103739.026126126,"distal_TF"
"DMRTA1",103814.358603175,"distal_TF"
"TEAD3",103849.411793502,"distal_TF"
"OTX2",103973.559139785,"distal_TF"
"ETV6",103984.143480602,"distal_TF"
"HOXC13",104002.4,"distal_TF"
"Stat2",104053.059375,"distal_TF"
"GSX2",104075.477137498,"distal_TF"
"HOXB5",104269.056081081,"distal_TF"
"ELF3",104383.620747423,"distal_TF"
"SOX9",104492.589259259,"distal_TF"
"NFATC3",104510.634203801,"distal_TF"
"MLXIPL",104596.223855311,"distal_TF"
"HOXB6",104665.160585533,"distal_TF"
"NKX2-3",104679.669843597,"distal_TF"
"SOX15",104738.345610383,"distal_TF"
"Nfatc1",104854.320368124,"distal_TF"
"FOXO1::ELF1",105002.605790043,"distal_TF"
"FOSL2::JUNB",105004.323744292,"distal_TF"
"SOX18",105117.124600866,"distal_TF"
"Hoxa13",105135.502279635,"distal_TF"
"POU6F1",105236.864959217,"distal_TF"
"DMRTA2",105310.062439459,"distal_TF"
"Prdm5",105368.25,"distal_TF"
"FOSL1::JUND",105563.724193107,"distal_TF"
"MEF2D",105825.984848485,"distal_TF"
"HOXB3",105864.382278426,"distal_TF"
"IKZF1",106006.661319831,"distal_TF"
"OLIG3",106092.376010101,"distal_TF"
"Yy1",106339.921276596,"distal_TF"
"ZEB1",106344.238681686,"distal_TF"
"Dmbx1",106405.388888889,"distal_TF"
"SNAI1",106461.498909663,"distal_TF"
"ZNF460",106507.214285714,"distal_TF"
"HOXB7",106525.970093795,"distal_TF"
"Lhx4",106581.43772235,"distal_TF"
"Foxo3",106766.784490741,"distal_TF"
"MEF2A",106893.340277778,"distal_TF"
"NFIC",106919.617424242,"distal_TF"
"FOXL1",106940.006154225,"distal_TF"
"NEUROG2",107194.912941634,"distal_TF"
"Stat5a",107274.901785714,"distal_TF"
"ETV7",107403.775842612,"distal_TF"
"BATF3",107420.739365079,"distal_TF"
"BATF::JUN",107420.751587302,"distal_TF"
"FOXA2",107422.877083333,"distal_TF"
"DMRT3",107423.048076923,"distal_TF"
"TCF7",107483.531605223,"distal_TF"
"OVOL1",107487,"distal_TF"
"JUND",107489.894157485,"distal_TF"
