"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"TFAP4::ETV1",40,148,96555.4479166666,12049.375,307128.858877224
"Nkx3-2",34,101,96573.1558823529,25216.5,161598.232860309
"ETV1",187,954,96655.3399252708,23703,168993.661940813
"RHOXF1",228,1290,96697.4884703363,29216.75,163588.424716262
"TEAD4",41,88,96742.9,22216,187489.285357804
"BSX",121,403,96876.9872097599,40417.5,145667.481094498
"Foxn1",269,2743,96944.0740400093,25911.6666666667,187287.330713631
"MSX2",116,477,97042.9750634423,27146,159094.493174544
"ONECUT2",21,53,97362.619047619,24830,190274.88362642
"GSX1",165,905,97457.2115583847,30838.2222222222,154661.955496589
"Hnf1A",30,98,97582.3880952381,42005.5,111255.721716222
"ONECUT1",20,55,97661.33,33360,186840.75715553
"FOXP4",61,175,97671.543715847,51293,129933.189958282
"HAND2",151,751,97685.3578894383,15995.5,221264.700511317
"SOX8",104,301,97689.2334020146,39032.25,142805.273007338
"FOXA1",59,168,97731.0847457627,41599,131612.340905628
"EVX2",153,783,97877.0826681307,38359,149960.326998794
"ONECUT3",4,9,97938,101478,99249.3711180748
"NFYB",38,131,98128.6447368421,15983,194670.428995163
"ERF::FOXO1",136,596,98158.787359944,30834.5,155864.655835849
"Spi1",112,533,98270.6431547619,30437.5,157355.606273746
"NKX2-8",220,1236,98417.2579856565,23574.25,201917.685191097
"HOXB2",123,644,98473.002565727,33310,156785.960083494
"FOXN3",10,24,98567.1,44183.5,135584.588151087
"Stat5b",27,79,98625.3055555556,29377,150501.671337614
"OSR2",72,233,98651.0125,21905,186142.274377461
"ZNF701",21,64,98761.7857142857,17848,147384.815697087
"IRF7",33,114,98770.7121212121,23707,163234.176545205
"Hand1::Tcf3",70,201,98866.5345238095,31711.5,180721.113573889
