"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"IRF4","day_0",6,7,13,0.461538461538462,0.538461538461538,0.0192125493076923,0.0159735,0.515210540681373,0.785350702210824,1,-0.0536720791429106,"negative_expression_enriched"
"FOXP4","day_0",29,30,59,0.491525423728814,0.508474576271186,0.0122252635932203,0.009830475,0.515210540681373,0.794801322005616,1,-0.0236851169525586,"negative_expression_enriched"
"ZNF175","day_0",122,119,241,0.506224066390041,0.493775933609959,0.0199713028962656,0.016662174,0.515210540681373,0.796807548830785,1,-0.00898647429133159,"negative_expression_enriched"
"TBX4","day_0",68,67,135,0.503703703703704,0.496296296296296,0.0121661274962963,0.011203766,0.515210540681373,0.796824007269553,1,-0.0115068369776686,"negative_expression_enriched"
"FOXS1","day_0",32,28,60,0.533333333333333,0.466666666666667,0.01262679515,0.009639204,0.515210540681373,0.797623406421253,1,0.0181227926519604,"positive_expression_enriched"
"FLI1","day_0",208,190,398,0.522613065326633,0.477386934673367,0.0176806177217664,0.014181349,0.515210540681373,0.80205513214616,1,0.00740252464526037,"positive_expression_enriched"
"DMRTA2","day_0",211,193,404,0.522277227722772,0.477722772277228,0.0131786572469227,0.0111544925,0.515210540681373,0.803519487771572,1,0.00706668704139934,"positive_expression_enriched"
"ZEB1","day_0",131,128,259,0.505791505791506,0.494208494208494,0.0133306494169884,0.012307247,0.515210540681373,0.80368272880445,1,-0.00941903488986662,"negative_expression_enriched"
"BSX","day_0",74,73,147,0.503401360544218,0.496598639455782,0.00930372880222298,0.007999182,0.515210540681373,0.80474588806625,1,-0.0118091801371546,"negative_expression_enriched"
"HNF1B","day_0",9,7,16,0.5625,0.4375,0.0077291698125,0.006900494,0.515210540681373,0.805068595439132,1,0.0472894593186274,"positive_expression_enriched"
